id,ch_dist,ch_nx_dist,hk_dist,nn_dist
1,526.0754272802039,526.0754272802039,344.2865907500594,1452.5602537711004
2,593.6295417994651,630.9345250905862,400.3448632243644,1652.2414500046532
3,416.02929985043977,416.02929985043977,303.29056369281875,973.2046839490899
4,499.0845215835704,499.0845215835704,292.18082748395983,924.6053209267066
5,580.722510879357,521.8818352652451,305.41478445490634,1707.1347106241844
6,402.40152661651774,402.40152661651774,323.3762133190181,1645.270680779902
7,601.148819984514,541.9397866987719,353.05342630486075,1266.6312458042134
8,538.1041029805384,407.177927011645,340.45540018197437,1002.2584189286712
9,509.17388534217923,402.3827553930486,347.5098424050522,1756.669710486195
10,615.7332676236317,590.5345309857022,372.26603276174455,1143.1897266822145
11,647.9305248674874,594.5510540067204,381.5412144988335,1856.9321062393092
12,556.253712785073,537.2163207758477,306.1889121666406,1421.0161130143779
13,487.57988201516036,446.44928374832546,399.13926616750786,1237.7817414571857
14,559.4308738636017,517.5655063417203,370.38816255984267,2074.9106896260487
15,421.8706884595586,416.4466325665624,325.14896248634903,1281.3775983559244
16,604.0075972591046,601.8410181319704,405.2453003370959,1152.257986151366
17,554.2624064677956,497.98085062938026,339.4536782314251,1807.3076368515808
18,646.374480059511,623.1349160163409,370.7167666319168,1500.7977610667594
19,512.5905316441417,512.5905316441417,357.13750863195685,1448.8959564928698
20,331.1522756144201,322.52861852158105,248.07783070224593,835.281384274319
21,502.41914020840886,530.8657769328934,346.4985511273564,1168.8003317476296
22,596.6310728490347,464.93519682138475,348.2954365417987,1464.3717846770242
23,541.0102054629598,541.0102054629598,338.5073415294659,1266.3942783361347
24,469.41149574057715,408.16760011001736,294.27210137958326,1419.5439725494853
25,528.1896227923623,528.1896227923623,350.14636015320025,1668.4799466118222
26,541.8434122717536,508.95292419214996,278.32461032690577,1299.2580136403624
27,517.8884024403043,494.91635160235086,341.04729802849516,1035.3280140384932
28,466.960692167337,539.0836696259979,342.5238406843289,1201.2539092886466
29,432.1136952283496,432.1136952283496,329.71090974172046,980.2326824294685
30,629.8818748226653,498.7192213109359,338.98901813398925,1441.1347353660822
31,465.49837928667563,494.2419557883915,332.51038348437737,1286.458179270146
