id,chris_distance,held_distance,nn_dist,chris_path,held_path,nn_path,chris_diff,nn_diff
11,647.9305248674874,381.5412144988335,1856.9321062393092,"[(7, 16), (98, 99), (77, 74), (56, 66), (37, 97), (33, 78), (18, 75), (95, 38), (31, 92), (52, 78), (84, 79), (92, 3), (45, 25), (24, 10), (7, 16)]","[(98, 99), (84, 79), (77, 74), (56, 66), (52, 78), (37, 97), (31, 92), (33, 78), (18, 75), (7, 16), (24, 10), (45, 25), (92, 3), (95, 38), (98, 99)]","[(98, 99), (84, 79), (98, 99), (77, 74), (98, 99), (52, 78), (98, 99), (56, 66), (98, 99), (37, 97), (98, 99), (95, 38), (98, 99), (31, 92), (98, 99), (33, 78), (98, 99), (18, 75), (98, 99), (45, 25), (98, 99), (92, 3), (98, 99), (24, 10), (98, 99), (7, 16), (98, 99)]",266.3893103686539,1475.3908917404756 
12,556.253712785073,306.1889121666406,1421.0161130143779,"[(36, 97), (50, 95), (6, 26), (54, 20), (63, 41), (70, 15), (69, 80), (57, 30), (28, 10), (5, 21), (5, 71), (46, 66), (56, 100), (17, 100), (36, 97)]","[(56, 100), (69, 80), (46, 66), (63, 41), (57, 30), (70, 15), (54, 20), (28, 10), (5, 21), (6, 26), (5, 71), (17, 100), (36, 97), (50, 95), (56, 100)]","[(36, 97), (50, 95), (36, 97), (17, 100), (36, 97), (56, 100), (36, 97), (46, 66), (36, 97), (69, 80), (36, 97), (5, 71), (36, 97), (63, 41), (36, 97), (57, 30), (36, 97), (6, 26), (36, 97), (54, 20), (36, 97), (5, 21), (36, 97), (28, 10), (36, 97), (70, 15), (36, 97)]",250.06480061843246,1114.8272008477372 
13,487.57988201516036,399.13926616750786,1237.7817414571857,"[(41, 20), (33, 91), (0, 97), (12, 84), (89, 21), (82, 53), (86, 84), (63, 55), (55, 51), (51, 37), (61, 32), (66, 38), (2, 0), (31, 5), (41, 20)]","[(2, 0), (12, 84), (0, 97), (33, 91), (86, 84), (82, 53), (89, 21), (61, 32), (66, 38), (63, 55), (55, 51), (51, 37), (41, 20), (31, 5), (2, 0)]","[(41, 20), (31, 5), (41, 20), (51, 37), (41, 20), (61, 32), (41, 20), (66, 38), (41, 20), (55, 51), (41, 20), (63, 55), (41, 20), (2, 0), (41, 20), (89, 21), (41, 20), (82, 53), (41, 20), (12, 84), (41, 20), (33, 91), (41, 20), (86, 84), (41, 20), (0, 97), (41, 20)]",88.44061584765251,838.6424752896778 
14,559.4308738636017,370.38816255984267,2074.9106896260487,"[(37, 83), (4, 83), (1, 50), (9, 66), (0, 1), (87, 13), (98, 23), (56, 83), (69, 85), (5, 61), (55, 58), (62, 97), (43, 70), (39, 91), (37, 83)]","[(55, 58), (43, 70), (56, 83), (69, 85), (62, 97), (39, 91), (37, 83), (4, 83), (9, 66), (5, 61), (1, 50), (0, 1), (87, 13), (98, 23), (55, 58)]","[(87, 13), (98, 23), (87, 13), (55, 58), (87, 13), (43, 70), (87, 13), (69, 85), (87, 13), (56, 83), (87, 13), (37, 83), (87, 13), (62, 97), (87, 13), (0, 1), (87, 13), (39, 91), (87, 13), (1, 50), (87, 13), (9, 66), (87, 13), (5, 61), (87, 13), (4, 83), (87, 13)]",189.04271130375906,1704.522527066206 
15,421.8706884595586,325.14896248634903,1281.3775983559244,"[(92, 47), (28, 30), (1, 2), (46, 90), (42, 91), (42, 99), (67, 78), (53, 67), (55, 68), (52, 80), (76, 13), (82, 27), (72, 41), (89, 59), (92, 47)]","[(82, 27), (76, 13), (1, 2), (28, 30), (53, 67), (55, 68), (52, 80), (46, 90), (42, 91), (42, 99), (67, 78), (89, 59), (92, 47), (72, 41), (82, 27)]","[(92, 47), (89, 59), (92, 47), (72, 41), (92, 47), (82, 27), (92, 47), (76, 13), (92, 47), (67, 78), (92, 47), (55, 68), (92, 47), (53, 67), (92, 47), (52, 80), (92, 47), (46, 90), (92, 47), (28, 30), (92, 47), (42, 91), (92, 47), (42, 99), (92, 47), (1, 2), (92, 47)]",96.72172597320957,956.2286358695753 
16,604.0075972591046,405.2453003370959,1152.257986151366,"[(64, 56), (50, 0), (4, 7), (15, 11), (47, 30), (60, 37), (94, 9), (39, 8), (99, 87), (21, 95), (33, 73), (48, 83), (80, 23), (61, 61), (64, 56)]","[(47, 30), (15, 11), (4, 7), (39, 8), (50, 0), (94, 9), (80, 23), (99, 87), (48, 83), (21, 95), (33, 73), (61, 61), (64, 56), (60, 37), (47, 30)]","[(64, 56), (61, 61), (64, 56), (60, 37), (64, 56), (47, 30), (64, 56), (48, 83), (64, 56), (33, 73), (64, 56), (80, 23), (64, 56), (99, 87), (64, 56), (39, 8), (64, 56), (94, 9), (64, 56), (50, 0), (64, 56), (21, 95), (64, 56), (15, 11), (64, 56), (4, 7), (64, 56)]",198.76229692200872,747.0126858142701 
17,554.2624064677956,339.4536782314251,1807.3076368515808,"[(66, 1), (12, 11), (21, 35), (57, 100), (77, 91), (99, 57), (99, 28), (99, 7), (85, 1), (59, 17), (74, 96), (24, 28), (66, 21), (55, 1), (66, 1)]","[(59, 17), (66, 21), (66, 1), (85, 1), (99, 7), (99, 28), (99, 57), (77, 91), (74, 96), (57, 100), (21, 35), (24, 28), (12, 11), (55, 1), (59, 17)]","[(12, 11), (24, 28), (12, 11), (21, 35), (12, 11), (55, 1), (12, 11), (59, 17), (12, 11), (66, 1), (12, 11), (66, 21), (12, 11), (85, 1), (12, 11), (99, 7), (12, 11), (99, 28), (12, 11), (99, 57), (12, 11), (57, 100), (12, 11), (77, 91), (12, 11), (74, 96), (12, 11)]",214.80872823637048,1467.8539586201557 
18,646.374480059511,370.7167666319168,1500.7977610667594,"[(94, 26), (0, 64), (2, 63), (7, 56), (2, 39), (58, 100), (96, 93), (11, 84), (30, 67), (39, 62), (54, 50), (79, 93), (18, 16), (68, 58), (94, 26)]","[(30, 67), (11, 84), (0, 64), (2, 63), (7, 56), (2, 39), (18, 16), (54, 50), (68, 58), (94, 26), (96, 93), (79, 93), (58, 100), (39, 62), (30, 67)]","[(58, 100), (79, 93), (58, 100), (96, 93), (58, 100), (39, 62), (58, 100), (68, 58), (58, 100), (30, 67), (58, 100), (11, 84), (58, 100), (54, 50), (58, 100), (2, 63), (58, 100), (7, 56), (58, 100), (0, 64), (58, 100), (94, 26), (58, 100), (2, 39), (58, 100), (18, 16), (58, 100)]",275.6577134275942,1130.0809944348425 
19,512.5905316441417,357.13750863195685,1448.8959564928698,"[(72, 66), (99, 52), (75, 1), (29, 94), (5, 43), (35, 25), (44, 52), (3, 36), (2, 42), (36, 65), (42, 93), (78, 97), (86, 81), (67, 70), (72, 66)]","[(78, 97), (86, 81), (67, 70), (72, 66), (99, 52), (75, 1), (35, 25), (3, 36), (2, 42), (5, 43), (44, 52), (36, 65), (29, 94), (42, 93), (78, 97)]","[(29, 94), (42, 93), (29, 94), (36, 65), (29, 94), (44, 52), (29, 94), (67, 70), (29, 94), (78, 97), (29, 94), (72, 66), (29, 94), (5, 43), (29, 94), (86, 81), (29, 94), (2, 42), (29, 94), (3, 36), (29, 94), (35, 25), (29, 94), (99, 52), (29, 94), (75, 1), (29, 94)]",155.45302301218487,1091.7584478609128 
20,331.1522756144201,248.07783070224593,835.281384274319,"[(22, 44), (37, 69), (90, 61), (91, 47), (50, 34), (59, 39), (54, 39), (35, 83), (45, 91), (54, 96), (41, 83), (7, 69), (8, 50), (21, 59), (22, 44)]","[(7, 69), (8, 50), (22, 44), (50, 34), (54, 39), (59, 39), (91, 47), (90, 61), (54, 96), (45, 91), (41, 83), (35, 83), (37, 69), (21, 59), (7, 69)]","[(37, 69), (35, 83), (37, 69), (41, 83), (37, 69), (21, 59), (37, 69), (45, 91), (37, 69), (22, 44), (37, 69), (7, 69), (37, 69), (54, 96), (37, 69), (54, 39), (37, 69), (8, 50), (37, 69), (59, 39), (37, 69), (50, 34), (37, 69), (90, 61), (37, 69), (91, 47), (37, 69)]",83.07444491217416,587.203553572073 
