4,21
5,85
6,270
7,786
8,2179
9,5827
10,15124
11,38264
12,94705
13,230017
14,549674
15,1295342
16,3015887
17,6948303
18,15861488
19,35915828


(4,21),(5,85),(6,270),(7,786),(8,2179),(9,5827),(10,15124),(11,38264),(12,94705),(13,230017),(14,549674),(15,1295342),(16,3015887),(17,6948303),(18,15861488),(19,35915828)
